year,month,tsi
1947,8,1363.8414132426367
1947,9,1363.8603291383204
1947,10,1363.898601146743
1947,11,1363.917975058392
1947,12,1363.8845013464295
1948,1,1363.8511221438757
1948,2,1363.862143912693
1948,3,1363.8576837062863
1948,4,1363.8365835428901
1948,5,1363.840218893383
1948,6,1363.8362873621554
1948,7,1363.8070799051663
1948,8,1363.766334890557
1948,9,1363.7301740694957
1948,10,1363.745412216449
1948,11,1363.7887547585635
1948,12,1363.8124032826229
1949,1,1363.8024227488863
1949,2,1363.7797473658218
1949,3,1363.7677884901047
1949,4,1363.765050189657
1949,5,1363.7441871655976
1949,6,1363.7332033068612
1949,7,1363.7455821254098
1949,8,1363.7536233276944
1949,9,1363.7635329977213
1949,10,1363.7365143163595
1949,11,1363.701660331234
1949,12,1363.6904318738864
1950,1,1363.6832619205709
1950,2,1363.6750904299795
1950,3,1363.6574920843702
1950,4,1363.6258343220943
1950,5,1363.584023863985
1950,6,1363.5366490295316
1950,7,1363.4890286424347
1950,8,1363.46807413245
1950,9,1363.4583020176267
1950,10,1363.438266905978
1950,11,1363.386686131695
1950,12,1363.3211879851895
1951,1,1363.2933112902967
1951,2,1363.292666319867
1951,3,1363.2971482082182
1951,4,1363.2994794325912
1951,5,1363.3081440722415
1951,6,1363.3154649511393
1951,7,1363.3147392535586
1951,8,1363.305272936871
1951,9,1363.2888167814733
1951,10,1363.2811003510074
1951,11,1363.2917707632835
1951,12,1363.3012328436148
1952,1,1363.2784240637313
1952,2,1363.2414623621187
1952,3,1363.213531594556
1952,4,1363.1878989923155
1952,5,1363.1562527345197
1952,6,1363.126366819466
1952,7,1363.1076976124768
1952,8,1363.0940373595602
1952,9,1363.0815466241165
1952,10,1363.0675999079876
1952,11,1363.0527260117512
1952,12,1363.0378377044033
1953,1,1363.0251125341526
1953,2,1363.0108780516257
1953,3,1362.9966737629607
1953,4,1362.9883163802099
1953,5,1362.9862505405144
1953,6,1362.9840367061956
1953,7,1362.973216086572
1953,8,1362.9622027707119
1953,9,1362.9561086900667
1953,10,1362.9535872524768
1953,11,1362.9518594385434
1953,12,1362.9501740121098
1954,1,1362.949578197235
1954,2,1362.9494710480417
1954,3,1362.9489879053892
1954,4,1362.950252311124
1954,5,1362.9524468126922
1954,6,1362.9551525682925
1954,7,1362.9624241234
1954,8,1362.9746286858042
1954,9,1362.9895757361112
1954,10,1363.0047304262991
1954,11,1363.0198311312722
1954,12,1363.0382379126343
1955,1,1363.0638745636202
1955,2,1363.0868710394268
1955,3,1363.1110646323027
1955,4,1363.1413059456092
1955,5,1363.1733111866931
1955,6,1363.220114994982
1955,7,1363.2713659869173
1955,8,1363.2965444063882
1955,9,1363.3311176363427
1955,10,1363.4043351457515
1955,11,1363.4678743245152
1955,12,1363.5152463046672
1956,1,1363.562766279443
1956,2,1363.6034117552497
1956,3,1363.6446200743355
1956,4,1363.6968770708409
1956,5,1363.7288844631796
1956,6,1363.733807831325
1956,7,1363.7659039522925
1956,8,1363.8436106440931
1956,9,1363.909287998528
1956,10,1363.9303479237071
1956,11,1363.947859764209
1956,12,1363.9413717310997
1957,1,1363.91914450713
1957,2,1363.9321148068614
1957,3,1363.9142565013954
1957,4,1363.8474735964671
1957,5,1363.8397184679277
1957,6,1363.842421024872
1957,7,1363.8048273098184
1957,8,1363.7709138715502
1957,9,1363.7059926039808
1957,10,1363.6334381262927
1957,11,1363.6066765881208
1957,12,1363.6393183652265
1958,1,1363.664715825128
1958,2,1363.6581972014721
1958,3,1363.6856013581926
1958,4,1363.745854733999
1958,5,1363.7816491125832
1958,6,1363.8007495556838
1958,7,1363.7739475691242
1958,8,1363.7384578681356
1958,9,1363.7575513203724
1958,10,1363.7851349703276
1958,11,1363.7929875315733
1958,12,1363.7689919414297
1959,1,1363.762832562308
1959,2,1363.748397093222
1959,3,1363.7267870227022
1959,4,1363.7250964024513
1959,5,1363.700697484978
1959,6,1363.6821459640105
1959,7,1363.7232900634729
1959,8,1363.7565591173902
1959,9,1363.7691826981895
1959,10,1363.7827055705013
1959,11,1363.7757040610927
1959,12,1363.7889241822397
1960,1,1363.7980582294617
1960,2,1363.8052759713976
1960,3,1363.8282762508327
1960,4,1363.83321208672
1960,5,1363.8287039267736
1960,6,1363.8382814361823
1960,7,1363.838616476505
1960,8,1363.8175785161936
1960,9,1363.789108043785
1960,10,1363.7573912931582
1960,11,1363.7278119229074
1960,12,1363.684344170712
1961,1,1363.6406071712047
1961,2,1363.621695782764
1961,3,1363.5853826493856
1961,4,1363.5360716544485
1961,5,1363.5008713025666
1961,6,1363.4602007531041
1961,7,1363.4162897302547
1961,8,1363.3782531312725
1961,9,1363.3535089032578
1961,10,1363.339782857783
1961,11,1363.328261626824
1961,12,1363.3215738708652
1962,1,1363.3107198151754
1962,2,1363.2810693662507
1962,3,1363.2493425049604
1962,4,1363.2278848103367
1962,5,1363.2122049421016
1962,6,1363.1986755778994
1962,7,1363.1878820281681
1962,8,1363.1813192086117
1962,9,1363.1674851713135
1962,10,1363.1469499097093
1962,11,1363.1294386749871
1962,12,1363.113538087487
1963,1,1363.1016832096645
1963,2,1363.0977585819762
1963,3,1363.0923963918328
1963,4,1363.0836605309908
1963,5,1363.079397359037
1963,6,1363.0794214155783
1963,7,1363.077875359127
1963,8,1363.075357414655
1963,9,1363.0731087161507
1963,10,1363.0717934338477
1963,11,1363.064953807459
1963,12,1363.0519486185701
1964,1,1363.039575769735
1964,2,1363.0282724458102
1964,3,1363.0249394693317
1964,4,1363.0252497415092
1964,5,1363.0192274484089
1964,6,1363.0146160182117
1964,7,1363.017345371706
1964,8,1363.018159860389
1964,9,1363.0160039781042
1964,10,1363.0149726116617
1964,11,1363.0191956780145
1964,12,1363.0307931471455
1965,1,1363.043183256061
1965,2,1363.0550915168137
1965,3,1363.0646940367062
1965,4,1363.0708551224589
1965,5,1363.074806565156
1965,6,1363.0740542000574
1965,7,1363.0768905347347
1965,8,1363.0886318078244
1965,9,1363.1004931709679
1965,10,1363.1134372580198
1965,11,1363.1365699593189
1965,12,1363.1650505286739
1966,1,1363.196004166577
1966,2,1363.2314603372763
1966,3,1363.2630458645162
1966,4,1363.2933281619178
1966,5,1363.3292636690412
1966,6,1363.370749758154
1966,7,1363.4056277326165
1966,8,1363.4389429846326
1966,9,1363.4780516560038
1966,10,1363.5253618218192
1966,11,1363.5560061099463
1966,12,1363.5612056869625
1967,1,1363.5653563419353
1967,2,1363.5708539360214
1967,3,1363.5957563709678
1967,4,1363.6282923005376
1967,5,1363.6473140328853
1967,6,1363.65636374776
1967,7,1363.66520843862
1967,8,1363.6774226137916
1967,9,1363.6945027056297
1967,10,1363.7017197913374
1967,11,1363.7055764993572
1967,12,1363.7090432587659
1968,1,1363.7097414509701
1968,2,1363.7131423622604
1968,3,1363.70562237718
1968,4,1363.70107308968
1968,5,1363.7045100799576
1968,6,1363.7060113363648
1968,7,1363.709237171042
1968,8,1363.7181113875274
1968,9,1363.7166086429918
1968,10,1363.708831264407
1968,11,1363.712196571307
1968,12,1363.7268125226512
1969,1,1363.7419523557157
1969,2,1363.754492612436
1969,3,1363.7707401791474
1969,4,1363.7748235415577
1969,5,1363.7669628331348
1969,6,1363.7691826045505
1969,7,1363.774532045411
1969,8,1363.7630288385656
1969,9,1363.7617545913981
1969,10,1363.7699877899643
1969,11,1363.7608415611112
1969,12,1363.7615982892025
1970,1,1363.7635921315411
1970,2,1363.7572484178315
1970,3,1363.7462025937277
1970,4,1363.7408427185485
1970,5,1363.7538995253135
1970,6,1363.7669428777779
1970,7,1363.7677363293906
1970,8,1363.7606087403449
1970,9,1363.739636679525
1970,10,1363.7139176735661
1970,11,1363.6996904969085
1970,12,1363.6786850258063
1971,1,1363.6542122079302
1971,2,1363.6246014646506
1971,3,1363.5948665406363
1971,4,1363.5585189835574
1971,5,1363.5134488292565
1971,6,1363.4812954854392
1971,7,1363.4674239397402
1971,8,1363.4685831826143
1971,9,1363.4688019523699
1971,10,1363.4722681232033
1971,11,1363.4780055588215
1971,12,1363.4845766374954
1972,1,1363.5015504325672
1972,2,1363.5269538532661
1972,3,1363.5485226594487
1972,4,1363.5680210301475
1972,5,1363.580324535569
1972,6,1363.57245263642
1972,7,1363.5557189912588
1972,8,1363.5375761986054
1972,9,1363.5163552365975
1972,10,1363.4915679281746
1972,11,1363.4734204893753
1972,12,1363.4541064297425
1973,1,1363.420302915809
1973,2,1363.3821713633895
1973,3,1363.3464683749041
1973,4,1363.3153618891065
1973,5,1363.287616917198
1973,6,1363.2653838229774
1973,7,1363.2440128256655
1973,8,1363.218155297872
1973,9,1363.2007796867447
1973,10,1363.1869020294866
1973,11,1363.1729032902392
1973,12,1363.1660709301584
1974,1,1363.1572365552931
1974,2,1363.1469001198095
1974,3,1363.1363143272467
1974,4,1363.1317910346838
1974,5,1363.1411284879546
1974,6,1363.1444306791284
1974,7,1363.136554845795
1974,8,1363.1288654842838
1974,9,1363.1198318768047
1974,10,1363.1097672841079
1974,11,1363.092524653776
1974,12,1363.0677821526112
1975,1,1363.0543293530593
1975,2,1363.0496787052098
1975,3,1363.0505644263567
1975,4,1363.0477140440091
1975,5,1363.0328505852726
1975,6,1363.0234973509985
1975,7,1363.0195988160524
1975,8,1363.0154824061026
1975,9,1363.01042453782
1975,10,1363.0037854663149
1975,11,1363.0006692133572
1975,12,1363.0021924881783
1976,1,1363.0012302146117
1976,2,1362.9960701151497
1976,3,1362.9842193336979
1976,4,1362.9740752417626
1976,5,1362.9689451831603
1976,6,1362.963358339612
1976,7,1362.9642595869238
1976,8,1362.973031806109
1976,9,1362.9873953115848
1976,10,1363.0033911137352
1976,11,1363.0201523123915
1976,12,1363.036996752714
1977,1,1363.0542308704555
1977,2,1363.074162297875
1977,3,1363.098151379775
1977,4,1363.12183183533
1977,5,1363.147234164497
1977,6,1363.1761716186638
1977,7,1363.2099480192012
1977,8,1363.2445500090248
1977,9,1363.2840316950849
1977,10,1363.3413752210251
1977,11,1363.4004933612134
1977,12,1363.4554034666796
1978,1,1363.5105811702638
1978,2,1363.5602993893497
1978,3,1363.5947153631848
1978,4,1363.6322616864823
1978,5,1363.6801268500578
1978,6,1363.7103576090628
1978,7,1363.7272256238477
1978,8,1363.7603437465918
1978,9,1363.811815233583
1978,10,1363.8452985994434
1978,11,1363.8635194075075
1978,12,1363.8636910989053
1979,1,1363.8535138857335
1979,2,1363.8590047526689
1979,3,1363.8716514244431
1979,4,1363.8777660236367
1979,5,1363.865881351997
1979,6,1363.8808642892282
1979,7,1363.9207092515935
1979,8,1363.9244464487622
1979,9,1363.9085739765758
1979,10,1363.8911814365222
1979,11,1363.8626936155542
1979,12,1363.86694115292
1980,1,1363.8954493502317
1980,2,1363.9117872480813
1980,3,1363.9273670888965
1980,4,1363.9414476286368
1980,5,1363.9509303572656
1980,6,1363.9451457660023
1980,7,1363.947284294228
1980,8,1363.9612118595403
1980,9,1363.9613479382938
1980,10,1363.980340890668
1980,11,1364.0196291790644
1980,12,1364.0377163980158
1981,1,1364.014083469118
1981,2,1363.9842367890103
1981,3,1363.9831689794673
1981,4,1363.979488476376
1981,5,1363.989072105229
1981,6,1364.006154028437
1981,7,1363.9948556265551
1981,8,1363.9672207200172
1981,9,1363.9192912960061
1981,10,1363.86878200761
1981,11,1363.8345970068485
1981,12,1363.788398254698
1982,1,1363.7598803291603
1982,2,1363.7544777323862
1982,3,1363.7392868917052
1982,4,1363.7421122445726
1982,5,1363.7386879307733
1982,6,1363.7236045927802
1982,7,1363.7086518038018
1982,8,1363.7039758809906
1982,9,1363.717001132911
1982,10,1363.7142921497118
1982,11,1363.697228419201
1982,12,1363.7010537984127
1983,1,1363.7212105109575
1983,2,1363.7323198913336
1983,3,1363.7229677174985
1983,4,1363.6889858917814
1983,5,1363.6511496966207
1983,6,1363.6158997864056
1983,7,1363.5647300162443
1983,8,1363.5176246081453
1983,9,1363.505700554885
1983,10,1363.488898917833
1983,11,1363.4580375348132
1983,12,1363.438759271238
1984,1,1363.418466215996
1984,2,1363.3850716192217
1984,3,1363.346969572134
1984,4,1363.3095385801537
1984,5,1363.269934057618
1984,6,1363.2342960041683
1984,7,1363.214095172179
1984,8,1363.1964560547883
1984,9,1363.1555431873976
1984,10,1363.1171234699693
1984,11,1363.093107389638
1984,12,1363.0626743093062
1985,1,1363.028356310964
1985,2,1363.001092138921
1985,3,1362.9827429596646
1985,4,1362.967371870462
1985,5,1362.958972702093
1985,6,1362.9560755485088
1985,7,1362.9566926251216
1985,8,1362.9593938576006
1985,9,1362.9619685806708
1985,10,1362.9677517653479
1985,11,1362.9741249688427
1985,12,1362.9746659237262
1986,1,1362.9704213476957
1986,2,1362.9610050237711
1986,3,1362.9510983064326
1986,4,1362.9515342651691
1986,5,1362.9582751461278
1986,6,1362.961705035151
1986,7,1362.9602223080003
1986,8,1362.958209162263
1986,9,1362.9549109977086
1986,10,1362.9507548141062
1986,11,1362.9519224651815
1986,12,1362.9637217620905
1987,1,1362.9832830361495
1987,2,1363.0060852538916
1987,3,1363.0291098906298
1987,4,1363.0519537115078
1987,5,1363.0788268740528
1987,6,1363.109489964017
1987,7,1363.1459750392858
1987,8,1363.1882419419687
1987,9,1363.2240241927695
1987,10,1363.2600016081371
1987,11,1363.3065902802248
1987,12,1363.343150538424
1988,1,1363.3551338073755
1988,2,1363.3717808167842
1988,3,1363.4139515155744
1988,4,1363.4530968716228
1988,5,1363.474137502671
1988,6,1363.4918846955477
1988,7,1363.5122996444723
1988,8,1363.540887956555
1988,9,1363.5784758358423
1988,10,1363.619003299373
1988,11,1363.6531314201613
1988,12,1363.668301679839
1989,1,1363.716390233871
1989,2,1363.774172153226
1989,3,1363.7817330129928
1989,4,1363.80522240905
1989,5,1363.853601771774
1989,6,1363.8944009557347
1989,7,1363.9260890296596
1989,8,1363.9428904721037
1989,9,1363.9566203003008
1989,10,1363.97204919824
1989,11,1363.968311912039
1989,12,1363.9840543341718
1990,1,1363.9881159095303
1990,2,1363.9505417146377
1990,3,1363.948804119387
1990,4,1363.9476909878456
1990,5,1363.9084992090823
1990,6,1363.876545513652
1990,7,1363.8482657273616
1990,8,1363.8139123504895
1990,9,1363.811641808295
1990,10,1363.8302176632233
1990,11,1363.8397880450334
1990,12,1363.819586496288
1991,1,1363.8049489959292
1991,2,1363.828987008026
1991,3,1363.8556180815924
1991,4,1363.8539818406427
1991,5,1363.8678010538595
1991,6,1363.8685994337432
1991,7,1363.8577519149258
1991,8,1363.8739767891245
1991,9,1363.8748345867104
1991,10,1363.8594243947302
1991,11,1363.8479419433413
1991,12,1363.850702210008
1992,1,1363.8258763852768
1992,2,1363.7813491003305
1992,3,1363.73118905956
1992,4,1363.6860680308862
1992,5,1363.644513157768
1992,6,1363.6296659271227
1992,7,1363.6333298424454
1992,8,1363.600800551724
1992,9,1363.5478735446045
1992,10,1363.4998845838966
1992,11,1363.4628947522208
1992,12,1363.4358268677677
1993,1,1363.4265689416475
1993,2,1363.4235347386905
1993,3,1363.4090192285203
1993,4,1363.38892621835
1993,5,1363.3645954970686
1993,6,1363.3306340150345
1993,7,1363.2874942959484
1993,8,1363.2661075682224
1993,9,1363.2622226711405
1993,10,1363.2403991341782
1993,11,1363.2112968257104
1993,12,1363.184740696409
1994,1,1363.159704046947
1994,2,1363.1349349300117
1994,3,1363.1110918764273
1994,4,1363.0973402919292
1994,5,1363.0990182268754
1994,6,1363.0931381456924
1994,7,1363.0878561443485
1994,8,1363.0840541286514
1994,9,1363.066389916718
1994,10,1363.0522170517088
1994,11,1363.04497134127
1994,12,1363.0397423377751
1995,1,1363.0379442670762
1995,2,1363.0390689875064
1995,3,1363.0447809161356
1995,4,1363.048517242614
1995,5,1363.0423055190922
1995,6,1363.0350045133127
1995,7,1363.027642891001
1995,8,1363.0146135803186
1995,9,1362.9989805895286
1995,10,1362.9839782067777
1995,11,1362.9753664732202
1995,12,1362.9689837077185
1996,1,1362.9612742459801
1996,2,1362.9535949731305
1996,3,1362.9453209870194
1996,4,1362.94154096193
1996,5,1362.9332607840624
1996,6,1362.9291869435608
1996,7,1362.93482530512
1996,8,1362.9382704978589
1996,9,1362.9450375172107
1996,10,1362.955703890329
1996,11,1362.9653308588772
1996,12,1362.9735324885369
1997,1,1362.9818132042176
1997,2,1362.9933257176585
1997,3,1363.0038040848628
1997,4,1363.0204958956153
1997,5,1363.0501498785904
1997,6,1363.0747960215115
1997,7,1363.097299288985
1997,8,1363.1229050687946
1997,9,1363.1425784574756
1997,10,1363.1685591158985
1997,11,1363.199160733999
1997,12,1363.230221642377
1998,1,1363.2728757792497
1998,2,1363.3130539727983
1998,3,1363.3496820683629
1998,4,1363.3885105443035
1998,5,1363.423398016078
1998,6,1363.4630427902714
1998,7,1363.510707143766
1998,8,1363.5524061858644
1998,9,1363.5908400115657
1998,10,1363.619847882802
1998,11,1363.6430795645226
1998,12,1363.6656771573541
1999,1,1363.6774290324438
1999,2,1363.6955044625513
1999,3,1363.7268207300692
1999,4,1363.7387788470494
1999,5,1363.7313386293074
1999,6,1363.7299720647914
1999,7,1363.7335805298453
1999,8,1363.7522026547044
1999,9,1363.766302926069
1999,10,1363.7768769104775
1999,11,1363.785774062897
1999,12,1363.7897102500385
2000,1,1363.7985136683628
2000,2,1363.8187963753523
2000,3,1363.8280132945727
2000,4,1363.8522038482017
2000,5,1363.9095047879418
2000,6,1363.9572871913917
2000,7,1363.9871520798326
2000,8,1364.0027636431453
2000,9,1364.0159549672107
2000,10,1364.0125938018434
2000,11,1364.0138475195406
2000,12,1364.0206691650155
2001,1,1364.027172509415
2001,2,1364.0194472957053
2001,3,1363.9970581612072
2001,4,1363.9800414272465
2001,5,1363.9587703738414
2001,6,1363.9441887451674
2001,7,1363.9586274978558
2001,8,1363.9911704111623
2001,9,1364.0316528217807
2001,10,1364.0644697726766
2001,11,1364.0708783485727
2001,12,1364.078609859191
2002,1,1364.0652535579814
2002,2,1364.0341814101319
2002,3,1364.0314922565476
2002,4,1364.028687268286
2002,5,1364.015110924469
2002,6,1364.0092699731247
2002,7,1363.9828704717804
2002,8,1363.9367197441022
2002,9,1363.879728215348
2002,10,1363.8325911101063
2002,11,1363.8087343301331
2002,12,1363.7766598529379
2003,1,1363.757338932194
2003,2,1363.7586807225168
2003,3,1363.7579151780274
2003,4,1363.7122484373015
2003,5,1363.6540584715758
2003,6,1363.6187540542367
2003,7,1363.572743223592
2003,8,1363.5245130987705
2003,9,1363.4947676016377
2003,10,1363.4846881174083
2003,11,1363.4704349409747
2003,12,1363.4564682923185
2004,1,1363.4330498869422
2004,2,1363.3934877821036
2004,3,1363.3590860937522
2004,4,1363.3707524887348
2004,5,1363.388007501772
2004,6,1363.3732548279818
2004,7,1363.350883959702
2004,8,1363.3264232588701
2004,9,1363.3080516359958
2004,10,1363.2853122972413
2004,11,1363.2622336560676
2004,12,1363.241524863505
2005,1,1363.2345462013184
2005,2,1363.240120097824
2005,3,1363.2282828315158
2005,4,1363.2055009092935
2005,5,1363.1881546773488
2005,6,1363.16428490777
2005,7,1363.1536246040066
2005,8,1363.1534113021632
2005,9,1363.1432269532768
2005,10,1363.1324008387157
2005,11,1363.1319756394776
2005,12,1363.1382631263505
2006,1,1363.1368404949437
2006,2,1363.1236736360727
2006,3,1363.114142616942
2006,4,1363.1100983652839
2006,5,1363.0974410316821
2006,6,1363.0817266940476
2006,7,1363.0638276470047
2006,8,1363.0460271926556
2006,9,1363.0352364291666
2006,10,1363.027906260618
2006,11,1363.0108572278225
2006,12,1362.9927253228045
2007,1,1362.9820989298835
2007,2,1362.978427299507
2007,3,1362.9725334773295
2007,4,1362.9585986013892
2007,5,1362.9525591379481
2007,6,1362.9531099876792
2007,7,1362.9548073156361
2007,8,1362.9554702091639
2007,9,1362.9498007075301
2007,10,1362.9452688878166
2007,11,1362.9460976595014
2007,12,1362.9419898728527
2008,1,1362.9343208859352
2008,2,1362.9271234988382
2008,3,1362.9209361667147
2008,4,1362.9177845173865
2008,5,1362.9163706708364
2008,6,1362.9138773834259
2008,7,1362.9066458619207
2008,8,1362.899433497147
2008,9,1362.896332147158
2008,10,1362.8925083778481
2008,11,1362.8894012832695
2008,12,1362.8909906761903
2009,1,1362.8929950072836
2009,2,1362.8932263486815
2009,3,1362.894505624264
2009,4,1362.8969112614056
2009,5,1362.900174276325
2009,6,1362.9044553665133
2009,7,1362.9112755573733
2009,8,1362.9264423750096
2009,9,1362.94511706899
2009,10,1362.9643610321173
2009,11,1362.9820789508897
2009,12,1362.9948426877174
2010,1,1363.011719899008
2010,2,1363.0325560199756
2010,3,1363.0516413088199
2010,4,1363.0669114041154
2010,5,1363.0812427480223
2010,6,1363.0983940193485
2010,7,1363.1122040435419
2010,8,1363.1176239351992
2010,9,1363.12209663734
2010,10,1363.1403442493022
2010,11,1363.1697627738993
2010,12,1363.2002336443293
2011,1,1363.2221297257809
2011,2,1363.23391771234
2011,3,1363.2444091521697
2011,4,1363.2631514979134
2011,5,1363.2925490478237
2011,6,1363.3305464767666
2011,7,1363.369099361175
2011,8,1363.4020786601482
2011,9,1363.4268096795513
2011,10,1363.4347128623915
2011,11,1363.4309865452324
2011,12,1363.427820726684
2012,1,1363.4230945842107
2012,2,1363.4329704699635
2012,3,1363.4666132593004
2012,4,1363.4912896239061
2012,5,1363.4968955607342
2012,6,1363.490595869874
2012,7,1363.480433353745
2012,8,1363.474724590822
2012,9,1363.4812197432218
2012,10,1363.4867304929978
2012,11,1363.4952739685805
2012,12,1363.5150726747183
2013,1,1363.5430774897275
2013,2,1363.567140438652
2013,3,1363.5705431364565
2013,4,1363.562940467326
2013,5,1363.551990359306
2013,6,1363.5514382176843
2013,7,1363.557041149136
2013,8,1363.5458543334198
2013,9,1363.5462407381335
2013,10,1363.569976421915
2013,11,1363.5766977374167
2013,12,1363.565294147363
2014,1,1363.5484449685998
2014,2,1363.5355560479006
2014,3,1363.5294977226317
2014,4,1363.5226108315026
2014,5,1363.5292654362072
2014,6,1363.5387237183309
2014,7,1363.5482927815028
2014,8,1363.593911516718
2014,9,1363.6273657116103
2014,10,1363.6341865662253
2014,11,1363.6455276332056
2014,12,1363.6511069821302
2015,1,1363.66197834584
2015,2,1363.6578730756785
2015,3,1363.6305324181965
2015,4,1363.6244927029184
2015,5,1363.6266171140296
2015,6,1363.614828138044
2015,7,1363.5987954243344
2015,8,1363.5649062292896
2015,9,1363.519943254675
2015,10,1363.4656085026586
2015,11,1363.4129607466105
2015,12,1363.3808079225064
2016,1,1363.3484086575424
2016,2,1363.320846195177
2016,3,1363.308014165831
2016,4,1363.286436553152
2016,5,1363.2512360668613
2016,6,1363.2111312687432
2016,7,1363.1723002660551
2016,8,1363.1372632700957
2016,9,1363.104803208276
2016,10,1363.0872833253459
2016,11,1363.0802160445662
2016,12,1363.0682403485089
2017,1,1363.0526924535268
2017,2,1363.0345061134728
2017,3,1363.0136091697898
2017,4,1363.0013910312146
2017,5,1362.9985068662506
2017,6,1362.9975080668778
2017,7,1362.9946285897274
2017,8,1362.9839345361559
2017,9,1362.974088410004
2017,10,1362.9677352568676
2017,11,1362.9613330459358
2017,12,1362.9564263669483
2018,1,1362.956498975595
2018,2,1362.9605391032835
2018,3,1362.9657242723247
2018,4,1362.9646379185162
2018,5,1362.9564630091527
2018,6,1362.9511654438747
2018,7,1362.949460882047
2018,8,1362.951909961588
2018,9,1362.9565654981184
2018,10,1362.9565798446683
2018,11,1362.9527977019711
2018,12,1362.9509700426072
2019,1,1362.9503553778673
2019,2,1362.9496634786738
2019,3,1362.950028588665
2019,4,1362.9497789217742
2019,5,1362.9509874798835
2019,6,1362.954460572939
2019,7,1362.9582542691755
2019,8,1362.9606973655557
2019,9,1362.9618933423124
2019,10,1362.966690057814
2019,11,1362.9740884870255
2019,12,1362.9787325370705
2020,1,1362.9811916234055
2020,2,1362.9881033707175
2020,3,1362.9974283247495
2020,4,1363.0068413769002
2020,5,1363.0190437387728
2020,6,1363.0370718425813
2020,7,1363.056412276721
2020,8,1363.070736259786
2020,9,1363.0863091635495
2020,10,1363.1017883354136
2020,11,1363.1128506551267
2020,12,1363.1264657623399
2021,1,1363.1477297942845
2021,2,1363.1675407889081
2021,3,1363.1837401363096
2021,4,1363.2022647243023
2021,5,1363.2209205359063
2021,6,1363.2432942493922
2021,7,1363.2672039617576
2021,8,1363.2971046575624
2021,9,1363.3329943412698
2021,10,1363.3725675336086
2021,11,1363.4251118496034
2021,12,1363.478196161431
2022,1,1363.517466017614
2022,2,1363.5516893509473
2022,3,1363.5963298586535
2022,4,1363.647454860983
2022,5,1363.690969799424
2022,6,1363.7110815241551
2022,7,1363.7302473803381
2022,8,1363.7665745945278
2022,9,1363.8114030923196
2022,10,1363.8506722073732
2022,11,1363.861614442051
2022,12,1363.8701652864504
2023,1,1363.8836944319253
2023,2,1363.9034698163339
2023,3,1363.9313625240175
2023,4,1363.9664491521482
2023,5,1364.010355298304
2023,6,1364.053709197333
2023,7,1364.0939348626468
2023,8,1364.1038996896489
2023,9,1364.094992466621
2023,10,1364.1001410666347
2023,11,1364.1068602838845
2023,12,1364.1029162412244
2024,1,1364.1199388064435
2024,2,1364.1253043473653
2024,3,1364.134573402898
2024,4,1364.1381527670103
2024,5,1364.11668413039
2024,6,1364.114400411697
2024,7,1364.1122820577352
2024,8,1364.1227172285232
